sample_id	tissue	sex	delta
GTEX-1AYD5-2326	Adipose - Subcutaneous	male	0.140974776086059
GTEX-1B8KE-2526	Adipose - Subcutaneous	male	0.2622845507614498
GTEX-1B8KZ-1926	Adipose - Subcutaneous	male	0.1465017482658608
GTEX-1B8L1-2626	Adipose - Subcutaneous	male	0.181793037715044
GTEX-1B8SF-0526	Adipose - Subcutaneous	male	0.1728500947436846
GTEX-1B8SG-0226	Adipose - Subcutaneous	male	0.1459178839016167
GTEX-1B932-0226	Adipose - Subcutaneous	female	0.2342134341280582
GTEX-1B933-0526	Adipose - Subcutaneous	female	0.1647428747824104
GTEX-1B97I-1726	Adipose - Subcutaneous	male	0.1397767075085204
GTEX-1B97J-1626	Adipose - Subcutaneous	female	0.1310065131530324
GTEX-1B98T-0226	Adipose - Subcutaneous	male	0.234586146370662
GTEX-1B996-0126	Adipose - Subcutaneous	male	0.1232679383304879
GTEX-1BAJH-0426	Adipose - Subcutaneous	male	0.1612618202388683
GTEX-1C2JI-2226	Adipose - Subcutaneous	male	0.1794996198595084
GTEX-1C475-1926	Adipose - Subcutaneous	female	0.393774742700293
GTEX-1C4CL-0426	Adipose - Subcutaneous	male	0.1096922385000495
GTEX-1C64N-0226	Adipose - Subcutaneous	male	0.1724569847713254
GTEX-1C64O-0226	Adipose - Subcutaneous	male	0.2839592734893008
GTEX-1C6VQ-0226	Adipose - Subcutaneous	male	0.1910804960791435
GTEX-1C6VR-2626	Adipose - Subcutaneous	male	0.275243277144457
GTEX-1C6VS-0426	Adipose - Subcutaneous	male	0.1722744417660627
GTEX-1C6WA-0226	Adipose - Subcutaneous	male	0.2328634530879069
GTEX-1CAMQ-0126	Adipose - Subcutaneous	male	0.2097308384008574
GTEX-1CAMS-0326	Adipose - Subcutaneous	female	0.261687585806954
GTEX-1CAV2-2326	Adipose - Subcutaneous	female	0.1939052906072924
GTEX-1CB4E-1826	Adipose - Subcutaneous	male	0.2507015535913334
GTEX-1CB4F-0526	Adipose - Subcutaneous	male	0.133724824868238
GTEX-1CB4G-0326	Adipose - Subcutaneous	male	0.2924654656551578
GTEX-1CB4H-0326	Adipose - Subcutaneous	female	0.3152813901401192
GTEX-1CB4I-0426	Adipose - Subcutaneous	male	0.2258282976338911
GTEX-1CB4J-1126	Adipose - Subcutaneous	male	0.2291293482667694
GTEX-1E1VI-0226	Adipose - Subcutaneous	male	0.1816527692210855
GTEX-1E2YA-0226	Adipose - Subcutaneous	male	0.1242087741637107
